File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/161.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_51
Injection Number	42
Position	RD4
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	01.12.2023
Injection Time	19:52:46
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-114.801077
Signal Max.	5.572491
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.004000	n.a.	-114.140968
0.008167	0.25	-114.131668
0.012333	0.25	-114.129510
0.016500	0.25	-114.121986
0.020667	0.25	-114.124781
0.024833	0.25	-114.135631
0.029000	0.25	-114.134639
0.033167	0.25	-114.126415
0.037333	0.25	-114.136655
0.041500	0.25	-114.134240
0.045667	0.25	-114.130378
0.049833	0.25	-114.131076
0.054000	0.25	-114.136334
0.058167	0.25	-114.132108
0.062333	0.25	-114.141017
0.066500	0.25	-114.136542
0.070667	0.25	-114.131092
0.074833	0.25	-114.123839
0.079000	0.25	-114.129859
0.083167	0.25	-114.132776
0.087333	0.25	-114.131038
0.091500	0.25	-114.132860
0.095667	0.25	-114.134670
0.099833	0.25	-114.125145
0.104000	0.25	-114.128992
0.108167	0.25	-114.127956
0.112333	0.25	-114.138345
0.116500	0.25	-114.122841
0.120667	0.25	-114.137831
0.124833	0.25	-114.132141
0.129000	0.25	-114.141979
0.133167	0.25	-114.133188
0.137333	0.25	-114.137259
0.141500	0.25	-114.127080
0.145667	0.25	-114.131494
0.149833	0.25	-114.137574
0.154000	0.25	-114.130271
0.158167	0.25	-114.133805
0.162333	0.25	-114.134608
0.166500	0.25	-114.136397
0.170667	0.25	-114.143016
0.174833	0.25	-114.141836
0.179000	0.25	-114.136806
0.183167	0.25	-114.134660
0.187333	0.25	-114.134904
0.191500	0.25	-114.138857
0.195667	0.25	-114.147142
0.199833	0.25	-114.141714
0.204000	0.25	-114.143419
0.208167	0.25	-114.146369
0.212333	0.25	-114.144444
0.216500	0.25	-114.133942
0.220667	0.25	-114.138342
0.224833	0.25	-114.135688
0.229000	0.25	-114.133607
0.233167	0.25	-114.131468
0.237333	0.25	-114.138743
0.241500	0.25	-114.140145
0.245667	0.25	-114.135602
0.249833	0.25	-114.146232
0.254000	0.25	-114.142842
0.258167	0.25	-114.146496
0.262333	0.25	-114.135169
0.266500	0.25	-114.135539
0.270667	0.25	-114.129482
0.274833	0.25	-114.141697
0.279000	0.25	-114.138305
0.283167	0.25	-114.130214
0.287333	0.25	-114.131425
0.291500	0.25	-114.138290
0.295667	0.25	-114.135342
0.299833	0.25	-114.139338
0.304000	0.25	-114.139369
0.308167	0.25	-114.139726
0.312333	0.25	-114.136048
0.316500	0.25	-114.143056
0.320667	0.25	-114.145526
0.324833	0.25	-114.140554
0.329000	0.25	-114.138535
0.333167	0.25	-114.141871
0.337333	0.25	-114.144721
0.341500	0.25	-114.149538
0.345667	0.25	-114.138260
0.349833	0.25	-114.130053
0.354000	0.25	-114.135147
0.358167	0.25	-114.143750
0.362333	0.25	-114.138832
0.366500	0.25	-114.131087
0.370667	0.25	-114.133984
0.374833	0.25	-114.142319
0.379000	0.25	-114.134078
0.383167	0.25	-114.145060
0.387333	0.25	-114.142819
0.391500	0.25	-114.146260
0.395667	0.25	-114.139467
0.399833	0.25	-114.142198
0.404000	0.25	-114.140386
0.408167	0.25	-114.143384
0.412333	0.25	-114.152096
0.416500	0.25	-114.145046
0.420667	0.25	-114.142007
0.424833	0.25	-114.148586
0.429000	0.25	-114.145681
0.433167	0.25	-114.152728
0.437333	0.25	-114.156667
0.441500	0.25	-114.161213
0.445667	0.25	-114.142686
0.449833	0.25	-114.148312
0.454000	0.25	-114.146366
0.458167	0.25	-114.149901
0.462333	0.25	-114.143648
0.466500	0.25	-114.145670
0.470667	0.25	-114.146347
0.474833	0.25	-114.134660
0.479000	0.25	-114.141452
0.483167	0.25	-114.137354
0.487333	0.25	-114.127797
0.491500	0.25	-114.132861
0.495667	0.25	-114.141403
0.499833	0.25	-114.135262
0.504000	0.25	-114.131966
0.508167	0.25	-114.130977
0.512333	0.25	-114.137046
0.516500	0.25	-114.124282
0.520667	0.25	-114.134898
0.524833	0.25	-114.123992
0.529000	0.25	-114.131426
0.533167	0.25	-114.140854
0.537333	0.25	-114.134156
0.541500	0.25	-114.131655
0.545667	0.25	-114.132814
0.549833	0.25	-114.131551
0.554000	0.25	-114.132624
0.558167	0.25	-114.131900
0.562333	0.25	-114.138245
0.566500	0.25	-114.132902
0.570667	0.25	-114.133978
0.574833	0.25	-114.136933
0.579000	0.25	-114.135216
0.583167	0.25	-114.134544
0.587333	0.25	-114.118811
0.591500	0.25	-114.117594
0.595667	0.25	-114.115958
0.599833	0.25	-114.118420
0.604000	0.25	-114.106048
0.608167	0.25	-114.105539
0.612333	0.25	-114.101812
0.616500	0.25	-114.084273
0.620667	0.25	-114.066214
0.624833	0.25	-114.040161
0.629000	0.25	-113.984340
0.633167	0.25	-113.903574
0.637333	0.25	-113.786764
0.641500	0.25	-113.575565
0.645667	0.25	-113.215952
0.649833	0.25	-112.649034
0.654000	0.25	-111.799026
0.658167	0.25	-110.684370
0.662333	0.25	-109.352620
0.666500	0.25	-107.945448
0.670667	0.25	-106.561857
0.674833	0.25	-105.329312
0.679000	0.25	-104.326025
0.683167	0.25	-103.620720
0.687333	0.25	-103.228295
0.691500	0.25	-103.113455
0.695667	0.25	-103.267665
0.699833	0.25	-103.597211
0.704000	0.25	-104.038665
0.708167	0.25	-104.521039
0.712333	0.25	-104.975158
0.716500	0.25	-105.400160
0.720667	0.25	-105.776095
0.724833	0.25	-106.137896
0.729000	0.25	-106.490931
0.733167	0.25	-106.857601
0.737333	0.25	-107.243937
0.741500	0.25	-107.624539
0.745667	0.25	-108.012197
0.749833	0.25	-108.395720
0.754000	0.25	-108.757349
0.758167	0.25	-109.101334
0.762333	0.25	-109.419949
0.766500	0.25	-109.714151
0.770667	0.25	-109.980690
0.774833	0.25	-110.220667
0.779000	0.25	-110.438179
0.783167	0.25	-110.637158
0.787333	0.25	-110.822755
0.791500	0.25	-110.976711
0.795667	0.25	-111.106020
0.799833	0.25	-111.204371
0.804000	0.25	-111.276931
0.808167	0.25	-111.333187
0.812333	0.25	-111.390699
0.816500	0.25	-111.435618
0.820667	0.25	-111.497963
0.824833	0.25	-111.586271
0.829000	0.25	-111.684222
0.833167	0.25	-111.801736
0.837333	0.25	-111.923814
0.841500	0.25	-112.056324
0.845667	0.25	-112.182922
0.849833	0.25	-112.321013
0.854000	0.25	-112.446568
0.858167	0.25	-112.565041
0.862333	0.25	-112.688091
0.866500	0.25	-112.801733
0.870667	0.25	-112.886475
0.874833	0.25	-112.977934
0.879000	0.25	-113.040614
0.883167	0.25	-113.078128
0.887333	0.25	-113.077461
0.891500	0.25	-113.044182
0.895667	0.25	-112.970969
0.899833	0.25	-112.889342
0.904000	0.25	-112.798027
0.908167	0.25	-112.718954
0.912333	0.25	-112.693484
0.916500	0.25	-112.723484
0.920667	0.25	-112.790402
0.924833	0.25	-112.895338
0.929000	0.25	-113.024878
0.933167	0.25	-113.170331
0.937333	0.25	-113.300086
0.941500	0.25	-113.413444
0.945667	0.25	-113.504636
0.949833	0.25	-113.573719
0.954000	0.25	-113.643671
0.958167	0.25	-113.674749
0.962333	0.25	-113.721683
0.966500	0.25	-113.731729
0.970667	0.25	-113.682771
0.974833	0.25	-113.522758
0.979000	0.25	-113.174625
0.983167	0.25	-112.568224
0.987333	0.25	-111.681321
0.991500	0.25	-110.527417
0.995667	0.25	-109.203819
0.999833	0.25	-107.837801
1.004000	0.25	-106.568769
1.008167	0.25	-105.526884
1.012333	0.25	-104.783319
1.016500	0.25	-104.369004
1.020667	0.25	-104.292549
1.024833	0.25	-104.505634
1.029000	0.25	-104.960691
1.033167	0.25	-105.585241
1.037333	0.25	-106.312512
1.041500	0.25	-107.094425
1.045667	0.25	-107.867521
1.049833	0.25	-108.591989
1.054000	0.25	-109.250285
1.058167	0.25	-109.816862
1.062333	0.25	-110.297594
1.066500	0.25	-110.671484
1.070667	0.25	-110.973162
1.074833	0.25	-111.207312
1.079000	0.25	-111.403638
1.083167	0.25	-111.575936
1.087333	0.25	-111.715859
1.091500	0.25	-111.860248
1.095667	0.25	-112.006977
1.099833	0.25	-112.141194
1.104000	0.25	-112.292060
1.108167	0.25	-112.435355
1.112333	0.25	-112.585142
1.116500	0.25	-112.708829
