File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/976.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_60
Injection Number	59
Position	RE10
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	06:05:17
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-112.861663
Signal Max.	16.489558
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.004000	n.a.	-112.162003
0.008167	0.25	-112.151765
0.012333	0.25	-112.150743
0.016500	0.25	-112.151872
0.020667	0.25	-112.158004
0.024833	0.25	-112.153059
0.029000	0.25	-112.144049
0.033167	0.25	-112.144609
0.037333	0.25	-112.154277
0.041500	0.25	-112.156692
0.045667	0.25	-112.152740
0.049833	0.25	-112.152132
0.054000	0.25	-112.146928
0.058167	0.25	-112.148409
0.062333	0.25	-112.151635
0.066500	0.25	-112.151252
0.070667	0.25	-112.146129
0.074833	0.25	-112.146478
0.079000	0.25	-112.154851
0.083167	0.25	-112.146185
0.087333	0.25	-112.152288
0.091500	0.25	-112.143936
0.095667	0.25	-112.147513
0.099833	0.25	-112.150082
0.104000	0.25	-112.149208
0.108167	0.25	-112.139932
0.112333	0.25	-112.141748
0.116500	0.25	-112.135938
0.120667	0.25	-112.138010
0.124833	0.25	-112.148187
0.129000	0.25	-112.139352
0.133167	0.25	-112.151445
0.137333	0.25	-112.147796
0.141500	0.25	-112.148397
0.145667	0.25	-112.152868
0.149833	0.25	-112.147290
0.154000	0.25	-112.140792
0.158167	0.25	-112.149328
0.162333	0.25	-112.142426
0.166500	0.25	-112.146192
0.170667	0.25	-112.142230
0.174833	0.25	-112.135473
0.179000	0.25	-112.145605
0.183167	0.25	-112.146085
0.187333	0.25	-112.144946
0.191500	0.25	-112.150784
0.195667	0.25	-112.139323
0.199833	0.25	-112.136527
0.204000	0.25	-112.142163
0.208167	0.25	-112.149317
0.212333	0.25	-112.147445
0.216500	0.25	-112.143297
0.220667	0.25	-112.144376
0.224833	0.25	-112.144976
0.229000	0.25	-112.147388
0.233167	0.25	-112.152059
0.237333	0.25	-112.145268
0.241500	0.25	-112.142741
0.245667	0.25	-112.143657
0.249833	0.25	-112.136933
0.254000	0.25	-112.136221
