File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/831.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_25
Injection Number	54
Position	RE4
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	03:05:15
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-113.267702
Signal Max.	15.523708
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.004000	n.a.	-112.581333
0.008167	0.25	-112.571720
0.012333	0.25	-112.577725
0.016500	0.25	-112.576128
0.020667	0.25	-112.574240
0.024833	0.25	-112.572021
0.029000	0.25	-112.572681
0.033167	0.25	-112.569284
0.037333	0.25	-112.578385
0.041500	0.25	-112.577971
0.045667	0.25	-112.579221
0.049833	0.25	-112.580419
0.054000	0.25	-112.582544
0.058167	0.25	-112.581010
0.062333	0.25	-112.574624
0.066500	0.25	-112.580542
0.070667	0.25	-112.579237
0.074833	0.25	-112.574269
0.079000	0.25	-112.571704
0.083167	0.25	-112.579591
0.087333	0.25	-112.561504
0.091500	0.25	-112.570060
0.095667	0.25	-112.569009
0.099833	0.25	-112.566912
0.104000	0.25	-112.572568
0.108167	0.25	-112.569608
0.112333	0.25	-112.573934
0.116500	0.25	-112.575057
0.120667	0.25	-112.577866
0.124833	0.25	-112.576196
0.129000	0.25	-112.573075
0.133167	0.25	-112.572736
0.137333	0.25	-112.575755
0.141500	0.25	-112.576372
0.145667	0.25	-112.573669
0.149833	0.25	-112.578595
0.154000	0.25	-112.566639
0.158167	0.25	-112.569941
0.162333	0.25	-112.581809
0.166500	0.25	-112.581907
0.170667	0.25	-112.578396
0.174833	0.25	-112.585589
0.179000	0.25	-112.583056
0.183167	0.25	-112.578017
0.187333	0.25	-112.583859
0.191500	0.25	-112.576273
0.195667	0.25	-112.580484
0.199833	0.25	-112.587043
0.204000	0.25	-112.576391
0.208167	0.25	-112.584296
0.212333	0.25	-112.588469
0.216500	0.25	-112.584986
0.220667	0.25	-112.584996
0.224833	0.25	-112.581749
0.229000	0.25	-112.589452
0.233167	0.25	-112.584641
0.237333	0.25	-112.579522
0.241500	0.25	-112.579388
0.245667	0.25	-112.586702
0.249833	0.25	-112.577930
0.254000	0.25	-112.584242
0.258167	0.25	-112.579726
0.262333	0.25	-112.581646
0.266500	0.25	-112.582181
0.270667	0.25	-112.578876
0.274833	0.25	-112.583682
0.279000	0.25	-112.580538
0.283167	0.25	-112.578079
0.287333	0.25	-112.584879
0.291500	0.25	-112.578791
0.295667	0.25	-112.585307
0.299833	0.25	-112.578993
0.304000	0.25	-112.578127
0.308167	0.25	-112.575476
0.312333	0.25	-112.573902
0.316500	0.25	-112.578489
0.320667	0.25	-112.577695
0.324833	0.25	-112.571207
0.329000	0.25	-112.558390
0.333167	0.25	-112.560275
0.337333	0.25	-112.562353
0.341500	0.25	-112.566357
0.345667	0.25	-112.547461
0.349833	0.25	-112.548976
0.354000	0.25	-112.553439
0.358167	0.25	-112.550922
0.362333	0.25	-112.560573
0.366500	0.25	-112.557868
0.370667	0.25	-112.551239
0.374833	0.25	-112.561046
0.379000	0.25	-112.563948
0.383167	0.25	-112.557853
0.387333	0.25	-112.570395
0.391500	0.25	-112.568632
