File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/845.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_45
Injection Number	39
Position	RD1
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	01.12.2023
Injection Time	18:04:49
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-115.475875
Signal Max.	-6.279632
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.004000	n.a.	-114.557094
0.008167	0.25	-114.562905
0.012333	0.25	-114.563394
0.016500	0.25	-114.566537
0.020667	0.25	-114.568641
0.024833	0.25	-114.565906
0.029000	0.25	-114.558379
0.033167	0.25	-114.559562
0.037333	0.25	-114.563519
0.041500	0.25	-114.561299
0.045667	0.25	-114.559428
0.049833	0.25	-114.557470
0.054000	0.25	-114.573644
0.058167	0.25	-114.573620
0.062333	0.25	-114.566529
0.066500	0.25	-114.553900
0.070667	0.25	-114.562783
0.074833	0.25	-114.566012
0.079000	0.25	-114.552687
0.083167	0.25	-114.556204
0.087333	0.25	-114.565123
0.091500	0.25	-114.557030
0.095667	0.25	-114.556999
0.099833	0.25	-114.561036
0.104000	0.25	-114.562798
0.108167	0.25	-114.564392
0.112333	0.25	-114.559829
0.116500	0.25	-114.562118
0.120667	0.25	-114.560155
0.124833	0.25	-114.552656
0.129000	0.25	-114.550597
0.133167	0.25	-114.553881
0.137333	0.25	-114.568856
0.141500	0.25	-114.569669
0.145667	0.25	-114.558285
0.149833	0.25	-114.559387
0.154000	0.25	-114.571960
0.158167	0.25	-114.575439
0.162333	0.25	-114.562117
0.166500	0.25	-114.559282
0.170667	0.25	-114.558361
0.174833	0.25	-114.570089
0.179000	0.25	-114.571932
0.183167	0.25	-114.571280
0.187333	0.25	-114.573899
0.191500	0.25	-114.574574
0.195667	0.25	-114.575012
0.199833	0.25	-114.581021
0.204000	0.25	-114.571024
0.208167	0.25	-114.571502
0.212333	0.25	-114.570156
0.216500	0.25	-114.570733
0.220667	0.25	-114.577345
0.224833	0.25	-114.568510
0.229000	0.25	-114.568741
0.233167	0.25	-114.575035
0.237333	0.25	-114.569939
0.241500	0.25	-114.582330
0.245667	0.25	-114.574175
0.249833	0.25	-114.568690
0.254000	0.25	-114.579706
0.258167	0.25	-114.577357
