File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/798.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_66
Injection Number	66
Position	RF5
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	10:17:34
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-112.279533
Signal Max.	20.640003
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.004000	n.a.	-111.587346
0.008167	0.25	-111.583375
0.012333	0.25	-111.589988
0.016500	0.25	-111.590960
0.020667	0.25	-111.582015
0.024833	0.25	-111.581156
0.029000	0.25	-111.592587
0.033167	0.25	-111.587394
0.037333	0.25	-111.582707
0.041500	0.25	-111.590117
0.045667	0.25	-111.582928
0.049833	0.25	-111.584503
0.054000	0.25	-111.589585
0.058167	0.25	-111.590190
0.062333	0.25	-111.593772
0.066500	0.25	-111.582629
0.070667	0.25	-111.587634
0.074833	0.25	-111.584621
0.079000	0.25	-111.582787
0.083167	0.25	-111.579695
0.087333	0.25	-111.585756
0.091500	0.25	-111.582653
0.095667	0.25	-111.586970
0.099833	0.25	-111.590798
0.104000	0.25	-111.589695
0.108167	0.25	-111.596544
0.112333	0.25	-111.588225
0.116500	0.25	-111.595272
0.120667	0.25	-111.593399
0.124833	0.25	-111.592472
0.129000	0.25	-111.587952
0.133167	0.25	-111.587591
0.137333	0.25	-111.597622
0.141500	0.25	-111.596452
0.145667	0.25	-111.590458
0.149833	0.25	-111.587692
0.154000	0.25	-111.595303
0.158167	0.25	-111.605209
0.162333	0.25	-111.596697
0.166500	0.25	-111.600060
0.170667	0.25	-111.592838
0.174833	0.25	-111.602199
0.179000	0.25	-111.601352
0.183167	0.25	-111.603947
0.187333	0.25	-111.598834
