File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/465.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_74
Injection Number	73
Position	RF12
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	14:29:49
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-111.987030
Signal Max.	-11.722266
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.004000	n.a.	-111.248468
0.008167	0.25	-111.258528
0.012333	0.25	-111.261475
0.016500	0.25	-111.261034
0.020667	0.25	-111.247804
0.024833	0.25	-111.255384
0.029000	0.25	-111.256324
0.033167	0.25	-111.261473
0.037333	0.25	-111.264872
0.041500	0.25	-111.257197
0.045667	0.25	-111.252529
0.049833	0.25	-111.246590
0.054000	0.25	-111.253400
0.058167	0.25	-111.258704
0.062333	0.25	-111.252299
0.066500	0.25	-111.253838
0.070667	0.25	-111.259290
0.074833	0.25	-111.258814
0.079000	0.25	-111.247112
0.083167	0.25	-111.256604
0.087333	0.25	-111.253571
0.091500	0.25	-111.259443
0.095667	0.25	-111.253573
0.099833	0.25	-111.263799
0.104000	0.25	-111.254571
0.108167	0.25	-111.257894
0.112333	0.25	-111.252642
0.116500	0.25	-111.261831
0.120667	0.25	-111.260968
0.124833	0.25	-111.252472
0.129000	0.25	-111.259876
0.133167	0.25	-111.263666
0.137333	0.25	-111.267438
0.141500	0.25	-111.268206
0.145667	0.25	-111.266776
0.149833	0.25	-111.272424
0.154000	0.25	-111.258831
0.158167	0.25	-111.259694
0.162333	0.25	-111.269989
0.166500	0.25	-111.259222
0.170667	0.25	-111.265730
0.174833	0.25	-111.264857
0.179000	0.25	-111.264230
0.183167	0.25	-111.259708
0.187333	0.25	-111.265484
0.191500	0.25	-111.276717
0.195667	0.25	-111.270897
0.199833	0.25	-111.266150
0.204000	0.25	-111.269292
0.208167	0.25	-111.277069
0.212333	0.25	-111.273410
0.216500	0.25	-111.277358
0.220667	0.25	-111.289275
0.224833	0.25	-111.293038
0.229000	0.25	-111.294417
0.233167	0.25	-111.309749
0.237333	0.25	-111.315955
0.241500	0.25	-111.311535
0.245667	0.25	-111.312847
0.249833	0.25	-111.317534
0.254000	0.25	-111.315228
0.258167	0.25	-111.299676
0.262333	0.25	-111.294421
0.266500	0.25	-111.300538
0.270667	0.25	-111.303214
0.274833	0.25	-111.300140
0.279000	0.25	-111.290136
0.283167	0.25	-111.287426
0.287333	0.25	-111.279539
0.291500	0.25	-111.288619
0.295667	0.25	-111.283948
0.299833	0.25	-111.273708
0.304000	0.25	-111.278921
0.308167	0.25	-111.272218
0.312333	0.25	-111.271106
0.316500	0.25	-111.264185
0.320667	0.25	-111.248955
0.324833	0.25	-111.243344
0.329000	0.25	-111.244627
0.333167	0.25	-111.230688
0.337333	0.25	-111.221044
0.341500	0.25	-111.213230
0.345667	0.25	-111.209949
0.349833	0.25	-111.209127
0.354000	0.25	-111.202441
0.358167	0.25	-111.207546
0.362333	0.25	-111.209709
0.366500	0.25	-111.206558
0.370667	0.25	-111.207935
0.374833	0.25	-111.207807
0.379000	0.25	-111.215937
0.383167	0.25	-111.215494
0.387333	0.25	-111.218160
0.391500	0.25	-111.225038
0.395667	0.25	-111.219619
0.399833	0.25	-111.229971
0.404000	0.25	-111.230352
0.408167	0.25	-111.231272
0.412333	0.25	-111.240580
0.416500	0.25	-111.236516
0.420667	0.25	-111.238921
0.424833	0.25	-111.232466
0.429000	0.25	-111.236620
0.433167	0.25	-111.246632
0.437333	0.25	-111.244901
0.441500	0.25	-111.247638
0.445667	0.25	-111.243251
0.449833	0.25	-111.253480
0.454000	0.25	-111.259327
0.458167	0.25	-111.246524
0.462333	0.25	-111.243659
0.466500	0.25	-111.247599
0.470667	0.25	-111.251804
0.474833	0.25	-111.239156
0.479000	0.25	-111.236702
0.483167	0.25	-111.243843
0.487333	0.25	-111.242814
0.491500	0.25	-111.240605
0.495667	0.25	-111.245997
0.499833	0.25	-111.235617
0.504000	0.25	-111.239390
0.508167	0.25	-111.242924
0.512333	0.25	-111.244134
0.516500	0.25	-111.251353
0.520667	0.25	-111.244178
0.524833	0.25	-111.242675
0.529000	0.25	-111.249980
0.533167	0.25	-111.248441
0.537333	0.25	-111.236945
0.541500	0.25	-111.238476
0.545667	0.25	-111.235322
0.549833	0.25	-111.233061
0.554000	0.25	-111.249117
0.558167	0.25	-111.251740
0.562333	0.25	-111.242826
0.566500	0.25	-111.242791
0.570667	0.25	-111.241336
0.574833	0.25	-111.236549
0.579000	0.25	-111.244160
0.583167	0.25	-111.246619
0.587333	0.25	-111.241172
0.591500	0.25	-111.228700
0.595667	0.25	-111.237861
0.599833	0.25	-111.240362
0.604000	0.25	-111.228438
0.608167	0.25	-111.219992
0.612333	0.25	-111.213287
0.616500	0.25	-111.204623
0.620667	0.25	-111.183204
0.624833	0.25	-111.145741
0.629000	0.25	-111.099252
0.633167	0.25	-111.002467
0.637333	0.25	-110.871947
0.641500	0.25	-110.647973
0.645667	0.25	-110.269463
0.649833	0.25	-109.671308
0.654000	0.25	-108.830696
0.658167	0.25	-107.758246
0.662333	0.25	-106.531005
0.666500	0.25	-105.243781
0.670667	0.25	-104.031386
0.674833	0.25	-103.001363
0.679000	0.25	-102.206489
0.683167	0.25	-101.685673
0.687333	0.25	-101.438952
0.691500	0.25	-101.468490
0.695667	0.25	-101.712458
0.699833	0.25	-102.146504
0.704000	0.25	-102.688314
0.708167	0.25	-103.271120
0.712333	0.25	-103.871827
0.716500	0.25	-104.446804
0.720667	0.25	-104.984056
0.724833	0.25	-105.472914
